"weeks_prior","release_dates","weeks_after"
"2010-02-10","2010-02-17","2010-02-24"
"2010-03-30","2010-04-06","2010-04-13"
"2010-05-12","2010-05-19","2010-05-26"
"2010-07-07","2010-07-14","2010-07-21"
"2010-08-24","2010-08-31","2010-09-07"
"2010-10-05","2010-10-12","2010-10-19"
"2010-11-16","2010-11-23","2010-11-30"
"2010-12-28","2011-01-04","2011-01-11"
"2011-02-09","2011-02-16","2011-02-23"
"2011-03-29","2011-04-05","2011-04-12"
"2011-05-11","2011-05-18","2011-05-25"
"2011-07-05","2011-07-12","2011-07-19"
"2011-08-23","2011-08-30","2011-09-06"
"2011-10-05","2011-10-12","2011-10-19"
"2011-11-15","2011-11-22","2011-11-29"
"2011-12-27","2012-01-03","2012-01-10"
"2012-02-08","2012-02-15","2012-02-22"
"2012-03-27","2012-04-03","2012-04-10"
"2012-05-09","2012-05-16","2012-05-23"
"2012-07-04","2012-07-11","2012-07-18"
"2012-08-15","2012-08-22","2012-08-29"
"2012-09-27","2012-10-04","2012-10-11"
"2012-11-07","2012-11-14","2012-11-21"
"2012-12-27","2013-01-03","2013-01-10"
"2013-02-13","2013-02-20","2013-02-27"
"2013-04-03","2013-04-10","2013-04-17"
"2013-05-15","2013-05-22","2013-05-29"
"2013-07-03","2013-07-10","2013-07-17"
"2013-08-14","2013-08-21","2013-08-28"
"2013-10-02","2013-10-09","2013-10-16"
"2013-11-13","2013-11-20","2013-11-27"
"2014-01-01","2014-01-08","2014-01-15"
"2014-02-12","2014-02-19","2014-02-26"
"2014-04-02","2014-04-09","2014-04-16"
"2014-05-14","2014-05-21","2014-05-28"
"2014-07-02","2014-07-09","2014-07-16"
"2014-08-13","2014-08-20","2014-08-27"
"2014-10-01","2014-10-08","2014-10-15"
"2014-11-12","2014-11-19","2014-11-26"
"2014-12-31","2015-01-07","2015-01-14"
"2015-02-11","2015-02-18","2015-02-25"
"2015-04-01","2015-04-08","2015-04-15"
"2015-05-13","2015-05-20","2015-05-27"
"2015-07-01","2015-07-08","2015-07-15"
"2015-08-12","2015-08-19","2015-08-26"
"2015-10-01","2015-10-08","2015-10-15"
"2015-11-11","2015-11-18","2015-11-25"
"2015-12-30","2016-01-06","2016-01-13"
"2016-02-10","2016-02-17","2016-02-24"
"2016-03-30","2016-04-06","2016-04-13"
"2016-05-11","2016-05-18","2016-05-25"
"2016-06-29","2016-07-06","2016-07-13"
"2016-08-10","2016-08-17","2016-08-24"
"2016-10-05","2016-10-12","2016-10-19"
"2016-11-16","2016-11-23","2016-11-30"
"2016-12-28","2017-01-04","2017-01-11"
"2017-02-15","2017-02-22","2017-03-01"
"2017-03-29","2017-04-05","2017-04-12"
"2017-05-17","2017-05-24","2017-05-31"
"2017-06-28","2017-07-05","2017-07-12"
"2017-08-09","2017-08-16","2017-08-23"
"2017-10-04","2017-10-11","2017-10-18"
"2017-11-15","2017-11-22","2017-11-29"
"2017-12-27","2018-01-03","2018-01-10"
"2018-02-14","2018-02-21","2018-02-28"
"2018-04-04","2018-04-11","2018-04-18"
"2018-05-16","2018-05-23","2018-05-30"
"2018-06-28","2018-07-05","2018-07-12"
"2018-08-15","2018-08-22","2018-08-29"
"2018-10-10","2018-10-17","2018-10-24"
"2018-11-22","2018-11-29","2018-12-06"
"2019-01-02","2019-01-09","2019-01-16"
"2019-02-13","2019-02-20","2019-02-27"
"2019-04-03","2019-04-10","2019-04-17"
"2019-05-15","2019-05-22","2019-05-29"
"2019-07-03","2019-07-10","2019-07-17"
"2019-08-14","2019-08-21","2019-08-28"
"2019-10-02","2019-10-09","2019-10-16"
"2019-11-13","2019-11-20","2019-11-27"
"2019-12-27","2020-01-03","2020-01-10"
"2020-02-12","2020-02-19","2020-02-26"
"2020-04-01","2020-04-08","2020-04-15"
"2020-05-13","2020-05-20","2020-05-27"
"2020-06-24","2020-07-01","2020-07-08"
"2020-08-12","2020-08-19","2020-08-26"
"2020-09-30","2020-10-07","2020-10-14"
"2020-11-18","2020-11-25","2020-12-02"
"2020-12-30","2021-01-06","2021-01-13"
"2021-02-10","2021-02-17","2021-02-24"
"2021-03-31","2021-04-07","2021-04-14"
"2021-05-12","2021-05-19","2021-05-26"
"2021-06-30","2021-07-07","2021-07-14"
"2021-11-17","2021-11-24","2021-12-01"
"2021-12-29","2022-01-05","2022-01-12"
"2022-02-09","2022-02-16","2022-02-23"
"2022-03-30","2022-04-06","2022-04-13"
"2022-05-18","2022-05-25","2022-06-01"
"2022-06-29","2022-07-06","2022-07-13"
"2022-08-10","2022-08-17","2022-08-24"
"2022-10-05","2022-10-12","2022-10-19"
"2022-11-16","2022-11-23","2022-11-30"
"2022-12-28","2023-01-04","2023-01-11"
"2023-02-15","2023-02-22","2023-03-01"
"2023-04-05","2023-04-12","2023-04-19"
"2023-05-17","2023-05-24","2023-05-31"
"2023-06-28","2023-07-05","2023-07-12"
"2023-08-09","2023-08-16","2023-08-23"
"2023-10-04","2023-10-11","2023-10-18"
