"Feb 17, 2010",2010-02-17
"Apr 6, 2010",2010-04-06
"May 19, 2010",2010-05-19
"July 14, 2010",2010-07-14
"Aug 31, 2010",2010-08-31
"Oct 12, 2010",2010-10-12
"Nov 23, 2010",2010-11-23
"Jan 4, 2011",2011-01-04
"February 16, 2011",2011-02-16
"April 05, 2011",2011-04-05
"May 18, 2011",2011-05-18
"July 12, 2011",2011-07-12
"August 30, 2011",2011-08-30
"October 12, 2011",2011-10-12
"November 22, 2011",2011-11-22
"January 03, 2012",2012-01-03
"February 15, 2012",2012-02-15
"April 03, 2012",2012-04-03
"May 16, 2012",2012-05-16
"July 11, 2012",2012-07-11
"August 22, 2012",2012-08-22
"October 04, 2012",2012-10-04
"November 14, 2012",2012-11-14
"January 03, 2013",2013-01-03
"February 20, 2013",2013-02-20
"April 10, 2013",2013-04-10
"May 22, 2013",2013-05-22
"July 10, 2013",2013-07-10
"August 21, 2013",2013-08-21
"October 09, 2013",2013-10-09
"November 20, 2013",2013-11-20
"January 08, 2014",2014-01-08
"February 19, 2014",2014-02-19
"April 09, 2014",2014-04-09
"May 21, 2014",2014-05-21
"July 09, 2014",2014-07-09
"August 20, 2014",2014-08-20
"October 08, 2014",2014-10-08
"November 19, 2014",2014-11-19
"January 07, 2015",2015-01-07
"February 18, 2015",2015-02-18
"April 08, 2015",2015-04-08
"May 20, 2015",2015-05-20
"July 08, 2015",2015-07-08
"August 19, 2015",2015-08-19
"October 08, 2015",2015-10-08
"November 18, 2015",2015-11-18
"January 06, 2016",2016-01-06
"February 17, 2016",2016-02-17
"April 06, 2016",2016-04-06
"May 18, 2016",2016-05-18
"July 06, 2016",2016-07-06
"August 17, 2016",2016-08-17
"October 12, 2016",2016-10-12
"November 23, 2016",2016-11-23
"January 04, 2017",2017-01-04
"February 22, 2017",2017-02-22
"April 05, 2017",2017-02-05
"May 24, 2017",2017-05-24
"July 05, 2017",2017-07-05
"August 16, 2017",2017-08-16
"October 11, 2017",2017-10-11
"November 22, 2017",2017-11-22
"January 03, 2018",2018-01-03
"February 21, 2018",2018-02-21
"April 11, 2018",2018-04-11
"May 23, 2018",2018-05-23
"July 05, 2018",2018-07-05
"August 22, 2018",2018-08-22
"October 17, 2018",2018-10-17
"November 29, 2018",2018-11-29
"January 09, 2019",2019-01-09
"February 20, 2019",2019-02-20
"April 10, 2019",2019-04-10
"May 22, 2019",2019-05-22
"July 10, 2019",2019-07-10
"August 21, 2019",2019-08-21
"October 09, 2019",2019-10-09
"November 20, 2019",2019-11-20
"January 03, 2020",2020-01-03
"February 19, 2020",2020-02-19
"April 08, 2020",2020-04-08
"May 20, 2020",2020-05-20
"July 01, 2020",2020-07-01
"August 19, 2020",2020-08-19
"October 07, 2020",2020-10-07
"November 25, 2020",2020-11-25
"January 06, 2021",2021-01-06
"February 17, 2021",2021-02-17
"April 7, 2021",2021-04-07
"May 19, 2021",2021-05-19
"July 7, 2021",2021-07-07
"August 18, 2021",2021-08-28
"October 13, 2021",2021-10-13
"November 24, 2021",2021-11-24
"January 05, 2022",2022-01-05
"February 16, 2022",2022-02-16
"April 06, 2022",2022-04-06
"May 25, 2022",2022-05-25
"July 06, 2022",2022-07-06
"August 17, 2022",2022-08-17
"October 12, 2022",2022-10-12
"November 23, 2022",2022-11-23
"January 04, 2023",2023-01-04
"February 22, 2023",2023-02-22
"April 12, 2023",2023-04-12
"May 24, 2023",2023-05-24
"July 05, 2023",2023-07-05
"August 16, 2023",2023-08-16
"October 11, 2023",2023-10-11
"November 21, 2023",2023-11-21
"January 03, 2024",2024-01-03
